"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHTF8|CHTF8",95.2641748516802,23.1042275101799,3.67850445991179,6.28087522034266,3.36672280663743e-10,4.0838347644512e-07
"RAPGEF3|RAPGEF3",26.4767319033198,7.96483925631973,1.48008810743807,5.38132778467245,7.39384186422976e-08,4.48436509065535e-05
"ESR1|ESR1",15.8408485332084,7.22376995534669,1.59859382956981,4.51882762320599,6.21829942932874e-06,0.00251426573592526
"HPGD|HPGD",471.212206675989,4.9177521273579,1.24362287106305,3.95437575312055,7.67347347115811e-05,0.023269808301287
"S100A4|S100A4",3945.70729224163,-1.05676012830676,0.272375855292614,-3.87978636054757,0.000104548251576461,0.0253634058324495
"ACE2|ACE2",229.757879664405,7.54294643019747,2.16503122984728,3.48398966546526,0.00049399856229407,0.0998700426771179
"H4C13|H4C13",82.246925172688,-2.88974036002119,0.903745247187332,-3.1975165225098,0.00138616470083616,0.240202540302037
"SLC9A3R2|SLC9A3R2",7.01263431741666,6.04777790344771,1.93037446434531,3.13295581512928,0.00173055491342929,0.262395388748716
"SELENOW|SELENOW",410.287688428949,-2.77412095655056,0.975031397278001,-2.84516064230863,0.00443890304087324,0.362468133506162
"CAMP|CAMP",468.932428170407,-2.01735943858519,0.692685369277824,-2.91237483576192,0.00358691919415537,0.362468133506162
"KLRA1|KLRA1",269.607679464758,2.07650396356978,0.710957555141455,2.92071439223489,0.00349229819123779,0.362468133506162
"UACA|UACA",214.31578136543,1.52706109143201,0.537307668462458,2.84206085463436,0.00448229348935897,0.362468133506162
"GP1BA|GP1BA",1037.25079708217,-2.87843884699573,0.981696730415995,-2.93210597306969,0.00336671843000535,0.362468133506162
"SLC7A8|SLC7A8",18.6904926553571,-4.87334863767137,1.6977769143443,-2.87042932230794,0.00409914823781784,0.362468133506162
"MAOB|MAOB",26.1376760483493,7.9460444717701,2.72546017633501,2.91548727835581,0.00355133585008366,0.362468133506162
"RHOB|RHOB",299.551066526448,-1.66095665899877,0.610607892149581,-2.72016899937461,0.006524855960889,0.465567663562256
"FCER1A|FCER1A",241.035233530353,1.86919612842542,0.685386999492364,2.7272126985336,0.00638718523973171,0.465567663562256
"LTB|LTB",2692.88954985858,1.07030123170622,0.406396510171177,2.63363785101255,0.00844755364354316,0.468905212417774
"DCN|DCN",9.65288486576819,6.50906107871461,2.47376271926505,2.63123905458824,0.00850741710734796,0.468905212417774
"GSTP1|GSTP1",167.985631555479,-1.31321411967971,0.487957821032293,-2.69124515086479,0.00711858634214752,0.468905212417774
"CCR3|CCR3",1504.28181110955,1.51575929337263,0.580088917795332,2.61297750547171,0.00897572096608216,0.468905212417774
"CDH1|CDH1",364.635046162527,1.22497760651237,0.473259684671225,2.58838360035541,0.00964275305666374,0.468905212417774
"HSD11B1|HSD11B1",9.2499185429334,6.44720527306909,2.4188668847564,2.66538242087612,0.00769008179921624,0.468905212417774
"CD5L|CD5L",261.449381959809,-1.37634148124682,0.519585718241877,-2.64892092473972,0.00807492228756251,0.468905212417774
"HSF4|HSF4",8.57573561006995,6.33797345805267,2.44934511072409,2.58761961730211,0.00966416348758809,0.468905212417774
"VLDLR|VLDLR",184.533705914149,1.65375504175513,0.671166081316411,2.46400270781188,0.0137395073448657,0.537613626107164
"DLA-DOA|DLA-DOA",581.402053155056,0.97700155268782,0.391061934015558,2.49832946575913,0.0124780163368628,0.537613626107164
"ADORA3|ADORA3",381.013073156951,1.50434885638367,0.60617410131452,2.48171087006425,0.013075332069027,0.537613626107164
"GNB3|GNB3",7.78469718033347,6.19822064613856,2.50609849993749,2.47325500026961,0.0133888571113715,0.537613626107164
"SLC45A2|SLC45A2",7.67577205002548,6.17824156138412,2.49835754177199,2.47292129252329,0.0134013654033175,0.537613626107164
