"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RHOB|RHOB",299.551066526448,-1.66095665899877,0.610607892149581,-2.72016899937461,0.006524855960889,0.465567663562256
"RARA|RARA",1267.91208455323,-1.6014405303611,0.834835337414994,-1.91827113514366,0.0550766404637454,0.949547208034192
"FTL|FTL",77771.6928747174,-1.02361591516045,0.675656446906386,-1.51499466903225,0.129773754154668,0.996139221459177
"GSTA4|GSTA4",394.8347805386,0.300900186471915,0.399981816013354,0.752284665015546,0.451879887847952,0.996139221459177
"GYPA|GYPA",15280.4527367646,0.517075047959271,0.748567094007353,0.69075310963935,0.489720707401286,0.996139221459177
"TAS2R5|TAS2R5",8.28564424370722,-0.91849628602838,1.63067963246515,-0.563259801460731,0.573257986748079,0.996139221459177
"F11|F11",24.914486132239,2.17651423846544,2.07676558754954,1.04803077030643,0.294624430310753,0.996139221459177
"SLC8A1|SLC8A1",405.607231565527,-0.0566115279411216,0.483116976918067,-0.117179752825623,0.906717611276285,0.996139221459177
"MAT2A|MAT2A",3781.71360595441,0.0376850794832293,0.263006935995517,0.143285496789604,0.886064709526211,0.996139221459177
"GNAI2|GNAI2",5600.28534335436,-0.657479178161615,0.504033593503912,-1.30443523335615,0.192085228686474,0.996139221459177
"ADGRE3|ADGRE3",11209.2603757225,0.870808349205948,0.507729121636748,1.71510420044207,0.086326124353469,0.996139221459177
"EIF4E2|EIF4E2",580.160760433328,0.270429330351224,0.266831566985483,1.0134832748853,0.310829380911422,0.996139221459177
"PEBP1|PEBP1",1061.77085711877,-0.0804496249610034,0.252846929751847,-0.318175209957897,0.750352036001291,0.996139221459177
"GAPDH|GAPDH",50553.7502323731,-0.207587949319157,0.425373440030346,-0.488013424872856,0.625540332035065,0.996139221459177
"NFKB1|NFKB1",2893.33984425027,-0.0948127889807837,0.385970460901062,-0.245647785479334,0.805954894894324,0.996139221459177
"RPS15A|RPS15A",17032.2991823017,0.377036238552545,0.406155495738007,0.928305150389383,0.353249303204676,0.996139221459177
"LMNA|LMNA",1247.09217685308,-0.640628135759052,0.593939833609984,-1.0786077974688,0.280762603817288,0.996139221459177
"SSTR2|SSTR2",12.1059874380307,-0.672778598405111,1.20667066120459,-0.557549478938599,0.577152063203115,0.996139221459177
"TUBD1|TUBD1",169.960274050638,-0.183487478203719,0.35557878768444,-0.516024815199483,0.605837077633373,0.996139221459177
"RAB9A|RAB9A",1495.3542296536,0.30301914191294,0.325393200040072,0.93123993333488,0.351729465424445,0.996139221459177
"EIF2AK2|EIF2AK2",1369.68838471888,-0.395705797001148,0.829759592089404,-0.476892103175002,NA,NA
